text,label
This team is trash,emotional
This player sucks,emotional
This music artist sucks,emotional
This album is mid af,emotional
Playboi Carti is trash music,emotional
Country music is for hillbillies,emotional
Rock is the greatest music genre,emotional
This song makes me want to die lmao,emotional
That game was an absolute joke,emotional
This coach is the worst ever,emotional
That referee is blind and useless,emotional
This team is embarrasing to watch,emotional
Pop music is garbage,emotional
That was the most disgusting performance I've ever seen,emotional
This player is a complete bum,emotional
That movie was absolutely terrible,emotional
This show is unwatchable,emotional
That actor is painfully bad,emotional
This director ruined the franchise,emotional
That ending was complete trash,emotional
This book is boring as hell,emotional
That author writes like a child,emotional
This podcast is a waste of time,emotional
That YouTuber is so annoying,emotional
This influencer is fake and cringe,emotional
That CEO is an absolute clown,emotional
This company is a total scam,emotional
That product is the worst thing I've ever bought,emotional
This app is pure garbage,emotional
That update ruined everything,emotional
This game is so broken it's unplayable,emotional
That studio destroyed their own franchise,emotional
This sequel is an insult to the original,emotional
That artist sold out completely,emotional
This album is the worst thing released this decade,emotional
That rapper can't even rap,emotional
This genre is dying and good riddance,emotional
That performance was cringe worthy,emotional
This team has no heart whatsoever,emotional
That player is a disgrace to the sport,emotional
This season was a complete disaster,emotional
That draft pick was an obvious mistake,emotional
This franchise is beyond saving,emotional
That signing was absolutely idiotic,emotional
This manager is clueless,emotional
That trade was the dumbest thing I've ever seen,emotional
This organization is a mess,emotional
That play call was insane in the worst way,emotional
This roster is a joke,emotional
That loss was completely humiliating,emotional
Lil baby is the greatest rapper alive,unsupported
Rap only talks about women and crime,unsupported
Hip hop is the best genre ever,unsupported
Billie Eilish fell off,unsupported
Travis Scott is overrated,unsupported
Taylor Swift is overrated,unsupported
Playboi Carti is the best rapper ever,unsupported
Rock music is for the depressed,unsupported
LeBron is the greatest basketball player of all time,unsupported
Michael Jordan was better than everyone else combined,unsupported
Soccer is the most boring sport,unsupported
American football is too violent to enjoy,unsupported
Baseball is a dying sport,unsupported
The NFL is rigged,unsupported
The NBA favors big market teams,unsupported
College athletes should be paid,unsupported
Streaming killed the music industry,unsupported
Albums don't matter anymore,unsupported
TikTok ruined music,unsupported
Vinyl sounds better than digital,unsupported
